timestamp_sec,ego_x,ego_y,ego_yaw,ego_velocity,ai_x,ai_y,ai_yaw,mppi_mode,throttle,steering
1777586135.277325,-49.981986,-40.005700,0.000000,0.000000,-41.800000,-40.000000,0.000000,1,-0.201844,-0.810928
1777586135.340030,-49.978026,-40.016851,-0.000000,0.044028,-40.000000,-40.000000,0.000000,1,-0.238752,0.059766
1777586135.402752,-49.976500,-40.020625,-0.000000,0.062339,-39.400000,-40.000000,0.000000,1,-0.300000,0.141917
1777586135.465151,-49.972679,-40.021692,-0.000178,0.061843,-38.700000,-40.000000,0.000000,1,-0.244212,-0.514822
1777586135.526510,-49.978373,-40.028653,-0.000327,0.047907,-38.100000,-40.000000,0.000000,1,0.211612,0.880514
1777586135.587736,-49.978427,-40.032818,-0.000305,0.031019,-37.500000,-40.000000,0.000000,1,0.591514,0.337179
1777586135.670683,-49.973794,-40.038039,-0.000309,0.014244,-36.900000,-40.000000,0.000000,1,-0.182524,0.565087
1777586135.731831,-49.974294,-40.035469,-0.000280,0.017066,-36.100000,-40.000000,0.000000,1,-0.031451,-0.710253
1777586135.792741,-49.969809,-40.029426,-0.000186,0.048324,-35.500000,-40.000000,0.000000,1,0.325533,0.909838
1777586135.854070,-49.961617,-40.025062,0.000014,0.057314,-34.800000,-40.000000,0.000000,1,-0.300000,-1.000000
1777586135.915699,-49.950198,-40.031749,-0.000007,0.051316,-34.200000,-40.000000,0.000000,1,0.486145,-1.000000
1777586135.977757,-49.951600,-40.032476,-0.000053,0.058805,-33.600000,-40.000000,0.000000,1,0.299129,-0.907463
1777586136.039082,-49.941020,-40.033921,0.000070,0.058250,-33.000000,-40.000000,0.000000,1,0.135011,-1.000000
1777586136.101332,-49.945476,-40.040322,-0.000303,0.062759,-32.400000,-40.000000,0.000000,1,0.720810,0.357101
1777586136.163466,-49.941390,-40.035363,-0.000797,0.084842,-31.800000,-40.000000,0.000000,1,-0.270773,0.493009
1777586136.247631,-49.942932,-40.034376,-0.001491,0.096793,-31.100000,-40.000000,0.000000,1,-0.031512,0.549092
1777586136.249435,-49.939096,-40.026969,-0.001587,0.141279,-30.300000,-40.000000,0.000000,0,10.000000,0.008805
1777586136.250524,-49.941056,-40.027760,-0.001530,0.148039,-30.200000,-40.000000,0.000000,0,10.000000,0.004336
1777586136.251583,-49.938719,-40.031722,-0.001473,0.144636,-30.100000,-40.000000,0.000000,0,10.000000,0.004311
1777586136.252597,-49.940214,-40.030481,-0.001395,0.141509,-30.000000,-40.000000,0.000000,0,10.000000,0.008770
1777586136.253600,-49.937882,-40.031204,-0.001319,0.138392,-29.900000,-40.000000,0.000000,0,10.000000,0.008777
1777586136.254601,-49.933498,-40.028922,-0.001245,0.135284,-29.800000,-40.000000,0.000000,0,10.000000,0.004323
1777586136.255581,-49.933166,-40.024912,-0.001172,0.132185,-29.700000,-40.000000,0.000000,0,10.000000,0.004324
1777586136.256600,-49.932814,-40.024450,-0.001101,0.129095,-29.600000,-40.000000,0.000000,0,10.000000,0.008781
1777586136.257622,-49.933172,-40.025454,-0.001032,0.126015,-29.500000,-40.000000,0.000000,0,10.000000,0.004354
1777586136.258686,-49.931512,-40.023595,-0.000964,0.122944,-29.400000,-40.000000,0.000000,0,10.000000,0.004363
1777586136.259707,-49.928491,-40.019878,-0.000870,0.222888,-29.300000,-40.000000,0.000000,0,10.000000,0.004376
1777586136.283474,-49.920820,-40.022181,-0.000865,0.519545,-29.000000,-40.000000,0.000000,0,10.000000,0.004378
1777586136.303564,-49.906957,-40.022471,-0.000859,0.715838,-28.800000,-40.000000,0.000000,0,10.000000,0.004370
1777586136.333646,-49.885273,-40.021481,-0.000847,1.008078,-28.500000,-40.000000,0.000000,0,10.000000,0.004372
1777586136.353417,-49.861798,-40.022253,-0.000836,1.201449,-28.300000,-40.000000,0.000000,0,10.000000,0.004373
1777586136.383497,-49.819333,-40.018951,-0.000817,1.489339,-28.000000,-40.000000,0.000000,0,10.000000,0.004381
1777586136.403557,-49.786410,-40.019188,-0.000802,1.679830,-27.800000,-40.000000,0.000000,0,10.000000,0.004386
1777586136.433604,-49.734109,-40.014701,-0.000776,1.963434,-27.500000,-40.000000,0.000000,0,10.000000,-0.000044
1777586136.453528,-49.692895,-40.013805,-0.000766,2.151090,-27.300000,-40.000000,0.000000,0,10.000000,-0.000050
1777586136.483510,-49.628455,-40.009455,-0.000767,2.430471,-27.000000,-40.000000,0.000000,0,10.000000,0.004385
1777586136.503546,-49.574469,-40.010713,-0.000755,2.615333,-26.800000,-40.000000,0.000000,0,10.000000,0.004387
1777586136.534517,-49.493217,-40.015412,-0.000715,2.890554,-26.500000,-40.000000,0.000000,0,10.000000,0.004387
1777586136.554497,-49.432154,-40.012147,-0.000687,3.072664,-26.300000,-40.000000,0.000000,0,10.000000,0.004396
1777586136.584335,-49.336448,-40.011815,-0.000640,3.343788,-26.000000,-40.000000,0.000000,0,10.000000,0.004410
1777586136.604443,-49.269726,-40.012573,-0.000607,3.523186,-25.800000,-40.000000,0.000000,0,10.000000,-0.000027
1777586136.634456,-49.159552,-40.017025,-0.000590,3.790275,-25.500000,-40.000000,0.000000,0,10.000000,-0.000036
1777586136.654524,-49.078373,-40.012466,-0.000591,3.967003,-25.300000,-40.000000,0.000000,0,10.000000,-0.000034
1777586136.683461,-48.957772,-40.012771,-0.000591,4.230114,-25.000000,-40.000000,0.000000,0,10.000000,-0.000041
